LookupType_ID	LookupType_Title_Fa	Lookup_ID	Lookup_Title_Fa	LookupCode
75	اولویت	321	اول (سه ماهه)
	2
75	اولویت	322	دوم (شش ماهه)
	3
75	اولویت	323	سوم (نه ماهه)
	4
75	اولویت	324	چهارم (بیش از یکسال)
	5
88	ارزش مالی پروژه	406	کوچک	1
88	ارزش مالی پروژه	407	متوسط	2
88	ارزش مالی پروژه	408	بزرگ	3
94	نوع واریزی	477	چک	
94	نوع واریزی	478	کارت به کارت	
94	نوع واریزی	479	واریز به حساب	
95	درخواست کننده	480	مشتری	
95	درخواست کننده	481	نمایندگی	
96	مجری	482	هوایار	
96	مجری	483	نمایندگی	
132	نوع داغی	785	سالم	
132	نوع داغی	786	معیوب	
142	نتیجه نهایی	876	خرید از هوایار	1
142	نتیجه نهایی	877	تعویض کارشناس فروش	2
142	نتیجه نهایی	878	خرید منتفی شد	3
142	نتیجه نهایی	879	عدم تامین بودجه کارفرما	4
142	نتیجه نهایی	880	خرید از رقبا(قیمت بالا)	5
142	نتیجه نهایی	881	خرید از رقبا(زمان تحویل)	6
142	نتیجه نهایی	882	خرید از رقبا(عدم تایید فنی)	7
142	نتیجه نهایی	883	خرید از رقبا(روابط)	8
142	نتیجه نهایی	884	خرید از رقبا(مشتری قدیم رقیب)	9
142	نتیجه نهایی	885	محصول غیرهوایاری	10
142	نتیجه نهایی	886	باخت استعلام گیر	11
142	نتیجه نهایی	887	سایر	12
142	نتیجه نهایی	906	عقد قرارداد	13
142	نتیجه نهایی	1073	عدم رضایت مشتری	14
142	نتیجه نهایی	1116	خرید از رقبا(شرایط پرداخت)	15
142	نتیجه نهایی	1117	خرید محصول دست دوم	16
142	نتیجه نهایی	2257	خرید خارجی	17
146	واحد های فروش	924	فروش صنعتی منطقه 1	262
146	واحد های فروش	925	فروش صنعتی منطقه 2	263
146	واحد های فروش	926	فروش صنعتی منطقه 3	264
146	واحد های فروش	927	فروش گازهای صنعتی	30
146	واحد های فروش	928	فروش توربوماشین	142
146	واحد های فروش	929	کمپرسورهای مهندسی	140
146	واحد های فروش	930	فروش تجهیزات پزشکی	33
146	واحد های فروش	931	خدمات پس از فروش هوای فشرده	149
146	واحد های فروش	932	خدمات پس از فروش کمپرسورهای توربینی	
146	واحد های فروش	933	خدمات پس از فروش و راه اندازی CNG	
146	واحد های فروش	934	فروش نمایندگی ها	
146	واحد های فروش	1072	فروش CNG	
146	واحد های فروش	1451	صادرات	
146	واحد های فروش	1670	خدمات پس از فروش حوزه نفت، گاز و پتروشیمی	
146	واحد های فروش	2091	دفتر مرکزی	
146	واحد های فروش	2538	فروش صنعتی	
146	واحد های فروش	2819	فروش تجهیزات فشرده سازی و جداسازی هوا و گاز	46
174	موضوع شکایت	1136	عدم پیگیری و پاسخ گویی به موقع - خدمات هوای فشرده	149
174	موضوع شکایت	1137	کیفیت پایین قطعات - هوای فشرده	149
174	موضوع شکایت	1138	کیفیت پایین محصولات	
174	موضوع شکایت	1139	تاخیر در ارائه خدمات - هوای فشرده	149
174	موضوع شکایت	1140	عدم همراه داشتن ابزار و لوازم - هوای فشرده	149
174	موضوع شکایت	1141	کیفیت پایین خدمات - هوای فشرده	149
174	موضوع شکایت	1142	کیفیت بسته بندی نامناسب	
174	موضوع شکایت	1144	تاخیر در تحویل قطعه - هوای فشرده	149
174	موضوع شکایت	1145	عدم دریافت آموزش مناسب	
174	موضوع شکایت	1147	ضعف مشاوره واحد فروش	
174	موضوع شکایت	1148	نارضایتی از عملکرد تکنسین - خدمات هوای فشرده	149
174	موضوع شکایت	1149	هزینه بالای حمل	
174	موضوع شکایت	1152	عدم اجرای تعهدات قراردادی - هوای فشرده	149
174	موضوع شکایت	1153	تاخیر یا عدم تحویل مدارک مهندسی	
174	موضوع شکایت	1154	نارضایتی از عملکرد نمایندگی	
174	موضوع شکایت	1155	نقص فنی کمپرسور	
174	موضوع شکایت	1156	سایر	z
174	موضوع شکایت	1501	تأخیر در ارسال گزارش پیشرفت پروژه	
174	موضوع شکایت	1520	درخواست ارسال گزارش کار	
174	موضوع شکایت	1553	تاخیر در اعزام کارشناس - هوای فشرده	
174	موضوع شکایت	1657	قیمت بالای قطعات - هوای فشرده	
174	موضوع شکایت	1658	قیمت بالای محصول	
174	موضوع شکایت	1661	دریافت خدمات قبل از تسویه فاکتور	
174	موضوع شکایت	1662	عدم پیگیری و پاسخگویی به موقع واحد فروش	
174	موضوع شکایت	1663	کیفیت پایین قطعات - تسمه	
174	موضوع شکایت	1664	کیفیت پایین قطعات - فیلتر	
174	موضوع شکایت	1665	کیفیت پایین قطعات - شیر	
174	موضوع شکایت	1666	درخواست انجام تعمیرات در سایت مشتری	
174	موضوع شکایت	1667	کیفیت پایین مخزن	
174	موضوع شکایت	1669	کیفیت پایین قطعات - اورینگ	
174	موضوع شکایت	1672	کیفیت پایین قطعات - شلنگ	
174	موضوع شکایت	1673	کیفیت پایین قطعات - اتودرین	
174	موضوع شکایت	1674	کیفیت پایین رادیاتور	
174	موضوع شکایت	1676	عدم حمایت هوایار در پروسه نصب تجهیزات	
174	موضوع شکایت	1696	تکرار خرابی درایر	
174	موضوع شکایت	1697	پایین بودن خلوص نیتروژن	
174	موضوع شکایت	1698	پایین بودن خلوص اکسیژن	
174	موضوع شکایت	1700	آسیب دیدگی وسل نیتروژن ساز	
174	موضوع شکایت	1701	زنگ زدگی مخزن	
174	موضوع شکایت	1702	نارضایتی از خرابی تجهیزات CNG	
174	موضوع شکایت	1786	نارضایتی از رفتار نامناسب - خدمات	
174	موضوع شکایت	1788	کیفیت پایین خدمات - CNG	14
174	موضوع شکایت	1797	کیفیت پایین قطعات - بیرینگ	
