Id	Title	Code	ProductTypeId
418	تعویض رابط ساپورت چپ Electro Motor 	Y051742C	
419	تعویض ساپورت نگهدارنده سقف کمپرسور	Y051752C	
420	تعویض پایه فن 	Y051762C	
421	تعویض پایه خرک 	Y051772C	
422	تعویض صفحه نگهدارنده قاب فن	Y051782C	
423	تعویض صفحه روی خرک 	Y051792C	
424	تعویض قاب رادیاتور 	Y051802C	
425	تعویض قاب تسمه 	Y051812C	
426	تعویض قاب کناری   Electro Motor	Y051822C	
427	تعویض قاب کناری تابلو برق 	Y051832C	
428	تعویض قاب ورودی هوا 	Y051842C	
429	تعویض قاب صداگیر 	Y051852C	
430	تعویض نگهدارنده مخزن 	Y051862C	
431	دمونتاژ ایراند	Y061012C	
432	مونتاژ ایراند	Y061022C	
433	دمونتاژ آنلودر	Y061032C	
434	مونتاژ آنلودر	Y061042C	
435	تعویض فیلتر هوا	Y061052C	
436	تعویض فیلتر روغن	Y061062C	
437	تعویض فیلتر سپراتور 	Y061072C	
438	تعویض روغن	Y061082C	
439	تعویض کیت اویل استاپ ولو	Y061092C	
440	تعویض ترموستاتیک ولو	Y061102C	
441	تعویض کیت مینیمم پرشرولو	Y061112C	
442	تعویض کیت آنلودر	Y061122C	
443	تعویض تسمه ها	Y061132C	
444	دمونتاژ الکتروموتور	Y061142C	
445	مونتاژ الکتروموتور	Y061152C	
446	تعویض پولی ایراند	Y061162C	
447	تعویض پولی الکتروموتور	Y061172C	
448	دمونتاژ مینیمم پرشرولو	Y061182C	
449	مونتاژ مینیمم پرشرولو	Y061192C	
450	تعویض سوپاپ اطمینان	Y061202C	
451	مونتاژ رادیاتور	Y061212C	
452	دمونتاژ رادیاتور	Y061222C	
453	مونتاژ شاسی متحرک	Y061232C	
454	دمونتاژ شاسی متحرک	Y061242C	
455	مونتاژ/تعویض فن خنک کننده	Y061252C	
456	دمونتاژ فن خنک کننده	Y061262C	
457	تعویض کنتاکتور	Y061272C	
458	تعویض بی متال	Y061282C	
459	تعویض کنترل فاز	Y061292C	
460	تعویض کلید حرارتی	Y061302C	
461	تعویض کلید ON-Off	Y061312C	
462	تعویض emergency stop	Y061322C	
463	تعویض برد کنترلی	Y061332C	
464	تعویض سنسور دما	Y061342C	
465	نعویض سنسور فشار	Y061352C	
466	تعویض شیر یکطرفه ساکشن	Y061362C	
467	تنظیم لوله ساکشن	Y061372C	
468	تعویض شلنگ هوا-روغن	Y061382C	
469	تعویض شلنگ از مینیمم به رادیاتور	Y061392C	
470	تعویض شلنگ از مخزن سپراتور به پایه فیلتر	Y061402C	
471	تعویض شلنگ از پایه فیلتر به ایراند	Y061412C	
472	تعویض شلنگ - لوله از پایه فیلتر به رادیاتور(رفت)	Y061422C	
473	تعویض شلنگ - لوله از پایه فیلتر به رادیاتور(برگشت)	Y061432C	
474	تعویض شلنگ های پنوماتیک 	Y061442C	
475	شستشوی رادیاتور	Y061452C	
476	شستشوی کمپرسور	Y061462C	
477	تعویض فوم ها و غبارگیر	Y061472C	
478	تعویض قفل کابینت(هرعدد)	Y061482C	
479	تعویض کابل قدرت 	Y061492C	
480	تعویض بلبرینگ های الکتروموتور	Y061502C	
481	تعویض بلبرینگ های الکتروموتور فن	Y061512C	
482	تعویض پروانه فن	Y061522C	
483	تعویض توری غبارگیر	Y061532C	
484	تعویض sight glass	Y061542C	
485	شستشوی مخزن سپراتور	Y061552C	
486	تعویض شلنگ تخلیه روغن	Y061562C	
487	تعویض شیر تخلیه روغن مخزن سپراتور	Y061572C	
488	تعویض لرزه گیر	Y061582C	
489	تنظیم پولی ها	Y061592C	
490	TEST RUN	Y061602C	
491	تعویض گیج مخزن سپراتور	Y061612C	
492	زنگ زدایی، لکه گیری و نقاشی	Y061622C	
493	تعویض چک ولو زیر ایراند	Y061632C	
494	تعویض واشر آببندی آنلودر	Y061642C	
495	تعویض واشر آببندی چک ولو زیر ایراند	Y061652C	
496	تعویض کابینت تابلو برق 	Y061662C	
497	تعویض درب تابلو برق  	Y061672C	
498	تعویض صفحه بالائی تابلو برق 	Y061682C	
499	تعویض صفحه پایینی تابلو برق 	Y061692C	
500	تعویض درب کابینت هر کدام	Y061702C	
501	تعویض پنل کابینت هر کدام	Y061712C	
502	تعویض ساپورت زیر  Electro Motor  هوایاری	Y061722C	
503	تعویض رابط ساپورت راست Electro Motor	Y061732C	
504	تعویض رابط ساپورت چپ Electro Motor 	Y061742C	
505	تعویض ساپورت نگهدارنده سقف کمپرسور	Y061752C	
506	تعویض پایه فن 	Y061762C	
507	تعویض پایه خرک 	Y061772C	
508	تعویض صفحه نگهدارنده قاب فن	Y061782C	
509	تعویض صفحه روی خرک 	Y061792C	
510	تعویض قاب رادیاتور 	Y061802C	
511	تعویض قاب تسمه 	Y061812C	
512	تعویض قاب کناری   Electro Motor	Y061822C	
513	تعویض قاب کناری تابلو برق 	Y061832C	
514	تعویض قاب ورودی هوا 	Y061842C	
515	تعویض قاب صداگیر 	Y061852C	
516	تعویض نگهدارنده مخزن 	Y061862C	
517	دمونتاژ ایراند	Y071012C	
518	مونتاژ ایراند	Y071022C	
519	دمونتاژ آنلودر	Y071032C	
520	مونتاژ آنلودر	Y071042C	
521	تعویض فیلتر هوا	Y071052C	
522	تعویض فیلتر روغن	Y071062C	
523	تعویض فیلتر سپراتور 	Y071072C	
524	تعویض روغن	Y071082C	
525	تعویض کیت اویل استاپ ولو	Y071092C	
526	تعویض ترموستاتیک ولو	Y071102C	
527	تعویض کیت مینیمم پرشرولو	Y071112C	
528	تعویض کیت آنلودر	Y071122C	
529	تعویض تسمه ها	Y071132C	
530	دمونتاژ الکتروموتور	Y071142C	
531	مونتاژ الکتروموتور	Y071152C	
532	تعویض پولی ایراند	Y071162C	
533	تعویض پولی الکتروموتور	Y071172C	
534	دمونتاژ مینیمم پرشرولو	Y071182C	
535	مونتاژ مینیمم پرشرولو	Y071192C	
536	تعویض سوپاپ اطمینان	Y071202C	
537	مونتاژ رادیاتور	Y071212C	
